provider,domain,usage_type,severity_weight,enabled,notes,source,first_seen,last_verified,confidence
OpenAI,chatgpt.com,web,1.0,1,ChatGPT primary domain,vendor_docs,2024-01-01,2025-05-01,high
OpenAI,chat.openai.com,web,1.0,1,Legacy ChatGPT domain,vendor_docs,2022-11-30,2025-05-01,high
OpenAI,api.openai.com,api,1.2,1,OpenAI API,vendor_docs,2023-03-01,2025-05-01,high
Anthropic,claude.ai,web,1.0,1,Claude web app,vendor_docs,2023-07-11,2025-05-01,high
Anthropic,api.anthropic.com,api,1.2,1,Anthropic API,vendor_docs,2023-03-14,2025-05-01,high
Anthropic,api.claude.ai,api,1.2,1,Claude API alternate endpoint,vendor_docs,2024-06-01,2025-05-01,high
Google Gemini,gemini.google.com,web,1.0,1,Gemini web app,vendor_docs,2024-02-08,2025-05-01,high
Google Gemini,bard.google.com,web,0.5,1,Bard (deprecated - redirects to Gemini),vendor_docs,2023-03-21,2025-05-01,medium
Google Gemini,aistudio.google.com,web,0.8,1,Google AI Studio,vendor_docs,2024-01-01,2025-05-01,high
Google Gemini,generativelanguage.googleapis.com,api,1.2,1,Gemini API endpoint,vendor_docs,2023-12-01,2025-05-01,high
Microsoft Copilot,copilot.microsoft.com,web,0.7,1,Copilot web app,vendor_docs,2024-01-01,2025-05-01,high
Microsoft Copilot,api.githubcopilot.com,api,1.2,1,GitHub Copilot API,vendor_docs,2022-06-01,2025-05-01,high
Microsoft Copilot,copilot-proxy.githubusercontent.com,api,1.2,1,GitHub Copilot proxy,vendor_docs,2022-06-01,2025-05-01,high
Microsoft Copilot,openai.azure.com,api,1.2,1,Azure OpenAI endpoint,vendor_docs,2023-01-01,2025-05-01,high
Perplexity,perplexity.ai,web,0.7,1,Perplexity web app,vendor_docs,2023-01-01,2025-05-01,high
Perplexity,api.perplexity.ai,api,1.0,1,Perplexity API,vendor_docs,2024-01-01,2025-05-01,high
DeepSeek,deepseek.com,web,1.0,1,DeepSeek web app,vendor_docs,2024-01-01,2025-05-01,high
DeepSeek,api.deepseek.com,api,1.2,1,DeepSeek API,vendor_docs,2024-01-01,2025-05-01,high
Mistral,mistral.ai,web,1.0,1,Mistral web app,vendor_docs,2024-02-01,2025-05-01,high
Mistral,api.mistral.ai,api,1.2,1,Mistral API,vendor_docs,2024-02-01,2025-05-01,high
Groq,groq.com,web,0.8,1,Groq web app,vendor_docs,2024-02-01,2025-05-01,high
Groq,api.groq.com,api,1.0,1,Groq API,vendor_docs,2024-02-01,2025-05-01,high
Together,together.ai,web,0.8,1,Together web app,vendor_docs,2023-06-01,2025-05-01,high
Together,api.together.xyz,api,1.0,1,Together API,vendor_docs,2023-06-01,2025-05-01,high
Replicate,replicate.com,web,0.8,1,Replicate web app,vendor_docs,2023-01-01,2025-05-01,high
Replicate,api.replicate.com,api,1.0,1,Replicate API,vendor_docs,2023-01-01,2025-05-01,high
Cohere,cohere.com,web,0.8,1,Cohere web app,vendor_docs,2023-01-01,2025-05-01,high
Cohere,api.cohere.ai,api,1.0,1,Cohere API,vendor_docs,2023-01-01,2025-05-01,high
Poe,poe.com,web,0.6,1,Quora Poe,vendor_docs,2023-02-01,2025-05-01,high
xAI,grok.com,web,0.7,1,Grok web app (grok.com),vendor_docs,2024-11-01,2025-05-01,high
xAI,grok.x.ai,web,0.7,1,Grok web app (grok.x.ai),vendor_docs,2024-03-01,2025-05-01,high
xAI,api.x.ai,api,1.0,1,xAI API,vendor_docs,2024-10-01,2025-05-01,high
Cursor,cursor.sh,ide,1.0,1,Cursor IDE web,vendor_docs,2023-03-01,2025-05-01,high
